,name,points,url,Достоверность маркировки,Антибиотики,Микробиология,Безопасность,Качество,Фальсификация,Органолептика,Содержание потенциально опасных веществ,Микробиологическая безопасность,Маркировка,Потребительские свойства,Потенциально вредные вещества,Пестициды нормируемые,Пестициды,Экокритерии,Антибиотики и токсичные элементы,Физико-химические показатели,Показатели качества,Введение потребителя в заблуждение,Достоверность информации,Органолептические и физико-химические показатели,Органолептические показатели,Консерванты,Витамины,Пищевая ценность,Минеральные вещества,Синтетические красители,Подсластители,Красители
42,Экомилк,3.25,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,2.5,5.0,0.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,
43,Добрая Бурёнка,3.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,2.5,5.0,0.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
44,Фрау Му,1.75,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/moloko-ultrapasterizovannoe/,,5.0,,5.0,2.5,5.0,5.0,5.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,
45,Авида,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,
46,Агрокомплекс,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,
47,Вкуснотеево,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,
48,Вологжанка,4.96,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,4.9,5.0,5.0,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
49,Домик в деревне,4.96,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,4.9,5.0,5.0,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
50,Коровка из Кореновки,4.96,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,4.9,5.0,5.0,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
51,Кубанский молочник,4.96,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,4.9,5.0,5.0,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
52,МясновЪ,4.96,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,4.9,5.0,5.0,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
53,Рузская,4.96,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,4.9,5.0,5.0,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
54,Большая кружка,4.92,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,4.8,5.0,5.0,,,5.0,4.6,5.0,,,,,,,,,,,,,,,,,
55,ВкусВилл,4.92,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,4.8,5.0,5.0,,,5.0,4.6,5.0,,,,,,,,,,,,,,,,,
56,Молочный комбинат Ставропольский,4.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,3.75,5.0,2.5,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,
57,Залесский фермер,4.46,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,3.65,5.0,2.5,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
58,Ирбитская,4.46,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,3.65,5.0,2.5,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
59,МясновЪ,4.46,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,3.65,5.0,2.5,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
60,Простоквашино,4.46,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,3.65,5.0,2.5,,,5.0,4.8,5.0,,,,,,,,,,,,,,,,,
61,ВкусВилл,4.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,2.5,5.0,0.0,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,
62,Из молока нашей дойки,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,1.25,5.0,2.5,,,5.0,0.0,5.0,,,,,,,,,,,,,,,,,
63,ЭкоНива,3.5,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/ryazhenka/,5.0,5.0,5.0,5.0,1.25,5.0,2.5,,,5.0,0.0,5.0,,,,,,,,,,,,,,,,,
64,36 копеек,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
65,Parmalat,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
66,Авида,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
67,Агрокомплекс,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
68,Домик в деревне,5.0,https://rskrf.ru/ratings/produkty-pitaniya/molochnye-produkty/kefir/,5.0,,5.0,5.0,5.0,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,
